93: [0] [[]]
96: [0] [[0.2525278329849243]]
97: [0] [[0.004126906394958496]]
101: [0] [[0.23139947652816772]]
102: [0] [[0.0013031363487243652]]
103: [0] [[0.11763131618499756]]
104: [0] [[0.10237157344818115]]
105: [0] [[0.0011881589889526367]]
106: [0] [[0.13537120819091797]]
107: [0] [[0.0008588433265686035]]
108: [0] [[0.1597554087638855]]
109: [0] [[0.015247881412506104]]
110: [0] [[0.0]]
111: [0] [[0.18453192710876465]]
112: [0] [[0.14235591888427734]]
113: [0] [[0.1807228922843933]]
114: [0] [[0.08276963233947754]]
115: [0] [[0.0]]
116: [0, 0] [[0.6135035455226898], [0.7516379952430725]]
117: [0, 0] [[0.6460646390914917], [0.62856724858284]]
118: [0, 0] [[0.6465547680854797], [0.6772587895393372]]
119: [0, 0] [[0.7628941684961319], [0.7694986164569855]]
120: [0, 0] [[0.7694986164569855], [0.7694986164569855]]
121: [0, 0] [[0.6566641926765442], [0.7057190835475922]]
122: [0, 0] [[0.764772355556488], [0.7562659680843353]]
123: [0, 0] [[0.8100520372390747], [0.7368442416191101]]
124: [0, 0] [[0.7421447932720184], [0.7454578876495361]]
125: [0, 0] [[0.6986618340015411], [0.6986618340015411]]
126: [0, 0] [[0.641889214515686], [0.5893149971961975]]
241: [0, 1, 0] [[0.8056822121143341, 0.8362494260072708], [0.7494724094867706, 0.07173120975494385], [0.8076282292604446, 1.270846575498581]]
242: [1, 1, 0] [[0.8419257253408432, 0.7502298653125763], [1.2600846886634827, 0.7820636928081512], [0.07655525207519531, 1.1842433214187622]]
243: [1, 1, 0] [[0.8604122996330261, 0.7986542582511902], [1.2332417219877243, 0.8276568353176117], [0.052428483963012695, 1.2706338465213776]]
244: [1, 1, 0] [[0.9321012124419212, 0.8083094358444214], [1.2638687789440155, 0.7894203513860703], [0.020724236965179443, 1.2508074045181274]]
245: [1, 1, 0] [[0.8568808883428574, 0.7682381123304367], [1.2716379165649414, 0.8206543475389481], [0.011536002159118652, 1.2844539880752563]]
246: [1, 1, 0] [[0.9488746337592602, 0.7340222299098969], [1.281486690044403, 0.6502497494220734], [0.024248480796813965, 1.2583333849906921]]
247: [1, 1, 0] [[1.2740741670131683, 0.019081294536590576], [1.0122627429664135, 0.7451930046081543], [0.034331560134887695, 1.0158391259610653]]
248: [1, 1, 0] [[0.9339855909347534, 0.09916210174560547], [1.1437445133924484, 0.7781101167201996], [0.05941414833068848, 1.1198772341012955]]
249: [1, 1, 0] [[0.9079748168587685, 0.6589330732822418], [1.1464787721633911, 0.7030890583992004], [0.022608041763305664, 1.1555063426494598]]
250: [1, 1, 0] [[0.9628625698387623, 0.7248049378395081], [1.1367631703615189, 0.664768397808075], [0.01029282808303833, 1.1403453201055527]]
251: [1, 1, 0] [[0.9475330747663975, 0.7163778841495514], [1.1841667741537094, 0.7117595374584198], [0.06580960750579834, 1.1829480528831482]]
252: [1, 1, 0] [[0.9903980372473598, 0.6861512959003448], [1.1695477813482285, 0.6089977324008942], [0.07502925395965576, 1.1397117674350739]]
253: [1, 1, 0] [[0.9195676743984222, 0.6596271991729736], [1.1304124742746353, 0.5869746208190918], [0.14225727319717407, 1.200796753168106]]
